PID		Action					Type				Time						Allocated space			Entered
86		Memory  deallocation	Deallocation		Tue May 24 18:55:08 2022		16					1
87		Memory  allocation  	Allocation  		Tue May 24 18:55:15 2022		48					1
88		Memory  allocation  	Allocation  		Tue May 24 18:55:36 2022		80					1
87		Memory  deallocation	Deallocation		Tue May 24 18:55:36 2022		48					1
88		Memory  deallocation	Deallocation		Tue May 24 18:55:47 2022		80					1
89		Memory  allocation  	Allocation  		Tue May 24 18:55:54 2022		16					1
89		Memory  deallocation	Deallocation		Tue May 24 18:56:12 2022		16					1
90		Memory  allocation  	Allocation  		Tue May 24 18:56:19 2022		128					1
90		Memory  deallocation	Deallocation		Tue May 24 18:56:33 2022		128					1
91		Memory  allocation  	Allocation  		Tue May 24 18:56:38 2022		48					1
91		Memory  deallocation	Deallocation		Tue May 24 18:56:52 2022		48					1
92		Memory  allocation  	Allocation  		Tue May 24 18:57:08 2022		80					1
93		Memory  allocation  	Allocation  		Tue May 24 18:57:24 2022		64					1
92		Memory  deallocation	Deallocation		Tue May 24 18:57:36 2022		80					1
93		Memory  deallocation	Deallocation		Tue May 24 18:57:47 2022		64					1
94		Memory  allocation  	Allocation  		Tue May 24 18:57:49 2022		96					1
95		Memory  allocation  	Allocation  		Tue May 24 18:58:10 2022		32					1
94		Memory  deallocation	Deallocation		Tue May 24 18:58:17 2022		96					1
96		Memory  allocation  	Allocation  		Tue May 24 18:58:28 2022		112					1
95		Memory  deallocation	Deallocation		Tue May 24 18:58:32 2022		32					1
97		Memory  allocation  	Allocation  		Tue May 24 18:58:55 2022		144					1
96		Memory  deallocation	Deallocation		Tue May 24 18:58:57 2022		112					1
98		Memory  allocation  	Allocation  		Tue May 24 18:59:18 2022		16					1
97		Memory  deallocation	Deallocation		Tue May 24 18:59:23 2022		144					1
98		Memory  deallocation	Deallocation		Tue May 24 18:59:41 2022		16					1
99		Memory  allocation  	Allocation  		Tue May 24 18:59:43 2022		128					1
99		Memory  deallocation	Deallocation		Tue May 24 19:00:00 2022		128					1
100		Memory  allocation  	Allocation  		Tue May 24 19:00:07 2022		64					1
101		Memory  allocation  	Allocation  		Tue May 24 19:00:22 2022		48					1
100		Memory  deallocation	Deallocation		Tue May 24 19:00:30 2022		64					1
101		Memory  deallocation	Deallocation		Tue May 24 19:00:36 2022		48					1
102		Memory  allocation  	Allocation  		Tue May 24 19:00:46 2022		176					1
102		Memory  deallocation	Deallocation		Tue May 24 19:01:02 2022		176					1
103		Memory  allocation  	Allocation  		Tue May 24 19:01:13 2022		48					1
103		Memory  deallocation	Deallocation		Tue May 24 19:01:34 2022		48					1
104		Memory  allocation  	Allocation  		Tue May 24 19:01:39 2022		96					1
105		Memory  allocation  	Allocation  		Tue May 24 19:02:00 2022		160					1
104		Memory  deallocation	Deallocation		Tue May 24 19:02:06 2022		96					1
105		Memory  deallocation	Deallocation		Tue May 24 19:02:21 2022		160					1
106		Memory  allocation  	Allocation  		Tue May 24 19:02:23 2022		144					1
106		Memory  deallocation	Deallocation		Tue May 24 19:02:38 2022		144					1
107		Memory  allocation  	Allocation  		Tue May 24 19:02:46 2022		112					1
107		Memory  deallocation	Deallocation		Tue May 24 19:03:03 2022		112					1
